ANO;EQUIPAMENTO;TIPO;LOGRADOURO;VELOCIDADE_VIA;LATITUDE;LONGITUDE
2018;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
2019;5941;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. PRAZERES;60 km/h;-8.1309702;-34.916161200000005
2019;5942;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. CENTRO;60 km/h;-8.1306469;-34.9158856
2019;5943;Lombada;AV. BOA VIAGEM - TERCEIRO JARDIM;60 km/h;-8.1078431;-34.8881609
2019;5944;Lombada;DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - SENT. PINA;60 km/h;-8.0801208;-34.8921866
2019;5945;Lombada;APOS PONTE AGAMENON MAGALHAES, CABANGA - SENT. DERBY;60 km/h;-8.0808198;-34.891159
2019;5946;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2019;5947;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2019;5948;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2019;5949;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2019;5950;Lombada;AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY;60 km/h;-8.0415844;-34.8833148
2019;5951;Lombada;AV. GENERAL SAN MARTIN, N. 1864, SENT. AV. RECIFE ;40 km/h;-8.0674689;-34.9278105
2019;5952;Lombada;AV. AFONSO OLINDENSE, N. 996, SENT. CAXANGA ;40 km/h;-8.0395243;-34.9576449
2019;5953;Lombada;AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANTA LÚCIA, SENT. CENTRO;40 km/h;-8.039192100000001;-34.929838700000005
2019;5954;Lombada;AV. ALFREDO LISBOA, ENTRE OS N. 33 E 18;30 km/h;-8.0637868;-34.871632299999995
2019;5955;Lombada;RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARES, SENT. SUBURBIO;40 km/h;-8.0874203;-34.9099345
2019;5956;Lombada;RUA PARIS, PRÓXIMO A PARADA DE ÔNIBUS N.020470;50 km/h;-8.1029992;-34.913129999999995
2019;5957;Lombada;AV. CONS. AGUIAR, N. 4620;60 km/h;-8.127873;-34.900242
2019;5958;Lombada;AV. RUI BARBOSA, N. 1397;60 km/h (40km/h ciclofaixa);-8.041157499999999;-34.903343400000004
2019;5959;Lombada;AV. ENG. ANTONIO DE GOES, N. 124;60 km/h (40km/h ciclofaixa);-8.0883266;-34.8837708
2019;5960;Lombada;AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19-R e 21-R, SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0758569;-34.88745120000001
2019;5961;Lombada;CAIS SANTA RITA, PROX.  AO N. 675 - SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0717339;-34.8779064
2019;5962;Lombada;AV. DOM JOAO VI, EM FRT. AO PT. DE ONIBUS N. 010243, IMBIRIBEIRA;50 km/h;-8.1157038;-34.904305
2019;5963;Lombada;AV. REPUBLICA DO LIBANO, N. 115 - PINA - SENT. SUBURBIO;60 km/h;-8.0873199;-34.891254700000005
2019;5964;Lombada;AV. CELSO FURTADO KM 1,5 - SENT. CENTRO;60 km/h;-8.098962799999999;-34.8902929
2019;5965;Lombada;AV. CELSO FURTADO KM 2,4 - SENT. SUBURBIO;60 km/h;-8.1053608;-34.8918783
2019;5966;Lombada;AV. CELSO FURTADO KM 2,5 - SENT. CENTRO;60 km/h;-8.105794099999999;-34.8920917
2019;5967;Lombada;AV. SATURNINO DE BRITO - PROX. A COMPESA, SENT. SUBURBIO;60 km/h;-8.0795908;-34.8927989
2019;5968;Lombada;AV. DOM JOAO VI, ENTRE OS N. 777 E 835 - SENT. CENTRO;50 km/h;-8.116378;-34.904458
2019;5969;Lombada;AV. ENG. ABDIAS DE CARVALHO, ENTRE OS N. 1785 E 1745 - SENT. CENTRO;60 km/h;-8.062406;-34.917518
2019;5970;Lombada;AV. BEBERIBE, 2960 - SENT. SUBÚRBIO;50 km/h;-8.012909;-34.889379999999996
2019;5971;Lombada;AV. BEBERIBE, 3101 - SENT. CENTRO;50 km/h;-8.011664;-34.889419000000004
2019;5972;Lombada;RUA CONEGO BARATA, 55 - SENTIDO TORRE;50 km/h;-8.032786;-34.902984000000004
2019;FS002;Fotossensor;RUA MADRE DE DEUS, SEMAFORO 020.;30 Km/h;-8.0634002;-34.8736694
2019;FS003;Fotossensor;AV. MARQUES DE OLINDA, SEMAFORO 020.;30 Km/h;-8.063578699999999;-34.873533
2019;FS004;Fotossensor;AV. HERCULANO BANDEIRA, SEMAFORO 137.;60 Km/h;-8.0887916;-34.8852251
2019;FS005;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338.;60 Km/h;-8.1214306;-34.8990221
2019;FS006;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297.;60 Km/h;-8.1052672;-34.889604999999996
2019;FS007;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271.;60 Km/h;-8.063993;-34.9357505
2019;FS008;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 272.;60 Km/h;-8.0641421;-34.9358171
2019;FS009;Fotossensor;AV. CDE. DA BOA VISTA,  SEMAFORO 486.;40 Km/h;-8.061164999999999;-34.883294299999996
2019;FS010;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069.;60 Km/h;-8.0626244;-34.897360600000006
2019;FS011;Fotossensor;RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544.;60 Km/h;-8.115148399999999;-34.9006181
2019;FS012;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173.;60 Km/h;-8.0516928;-34.8950315
2019;FS014;Fotossensor;AV. BOA VIAGEM,  SEMAFORO 104.;60 Km/h;-8.0919008;-34.8820881
2019;FS015;Fotossensor;AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 530/531.;60 Km/h;-8.1273728;-34.915517799999996
2019;FS016;Fotossensor;AV. RECIFE, SEMAFORO 336.;60 Km/h;-8.1003544;-34.9282125
2019;FS017;Fotossensor;AV. RECIFE, SEMAFORO 617.;60 Km/h;-8.100547;-34.928082399999994
2019;FS018;Fotossensor;AV. DEZESSETE DE AGOSTO, SEMAFORO 370.;60 Km/h;-8.0277621;-34.928001
2019;FS019;Fotossensor;PONTE DELMIRO GOUVEIA, SEMAFORO 075.;50 Km/h;-8.05671;-34.89797
2019;FS020;Fotossensor;AV. BEBERIBE, SEMAFORO 131.;60 Km/h;-8.0278685;-34.892909100000004
2019;FS021;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328.;60 Km/h;-8.06242;-34.91688
2019;FS022;Fotossensor;RUA REAL DA TORRE, SEMAFORO 237.;50 Km/h;-8.05538;-34.90906
2019;FS023;Fotossensor;AV.NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424;60 Km/h;-8.018274400000001;-34.92830429999999
2019;FS024;Fotossensor;RUA GUILHERME PINTO, SEMAFORO 432.;40 Km/h;-8.05216;-34.90217
2019;FS025;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 580;50 Km/h;-8.121513199999999;-34.9093425
2019;FS026;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 400;50 Km/h;-8.1214297;-34.9098383
2019;FS027;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2019;FS028;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2019;FS029;Fotossensor;RUA FALCAO DE LACERDA SEMAFORO 285;50 Km/h;-8.0920388;-34.961494099999996
2019;FS030;Fotossensor;AV. LIBERDADE, SEMAFORO 440;50 Km/h;-8.0811109;-34.9683544
2019;FS033;Fotossensor;AV. DR. JOSE RUFINO, SEMAFORO 082.;60 Km/h;-8.08463;-34.92803
2019;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
2020;5941;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. PRAZERES;60 km/h;-8.1309702;-34.916161200000005
2020;5942;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. CENTRO;60 km/h;-8.1306469;-34.9158856
2020;5943;Lombada;AV. BOA VIAGEM - TERCEIRO JARDIM;60 km/h;-8.1078431;-34.8881609
2020;5944;Lombada;DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - SENT. PINA;60 km/h;-8.0801208;-34.8921866
2020;5945;Lombada;APOS PONTE AGAMENON MAGALHAES, CABANGA - SENT. DERBY;60 km/h;-8.0808198;-34.891159
2020;5946;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2020;5947;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2020;5948;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2020;5949;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2020;5950;Lombada;AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY;60 km/h;-8.0415844;-34.8833148
2020;5951;Lombada;AV. GENERAL SAN MARTIN, N. 1864, SENT. AV. RECIFE ;40 km/h;-8.0674689;-34.9278105
2020;5952;Lombada;AV. AFONSO OLINDENSE, N. 996, SENT. CAXANGA ;40 km/h;-8.0395243;-34.9576449
2020;5953;Lombada;AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANTA LÚCIA, SENT. CENTRO;40 km/h;-8.039192100000001;-34.929838700000005
2020;5954;Lombada;AV. ALFREDO LISBOA, ENTRE OS N. 33 E 18;30 km/h;-8.0637868;-34.871632299999995
2020;5955;Lombada;RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARES, SENT. SUBURBIO;40 km/h;-8.0874203;-34.9099345
2020;5956;Lombada;RUA PARIS, PRÓXIMO A PARADA DE ÔNIBUS N.020470;50 km/h;-8.1029992;-34.913129999999995
2020;5957;Lombada;AV. CONS. AGUIAR, N. 4620;60 km/h;-8.127873;-34.900242
2020;5958;Lombada;AV. RUI BARBOSA, N. 1397;60 km/h (40km/h ciclofaixa);-8.041157499999999;-34.903343400000004
2020;5959;Lombada;AV. ENG. ANTONIO DE GOES, N. 124;60 km/h (40km/h ciclofaixa);-8.0883266;-34.8837708
2020;5960;Lombada;AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19-R e 21-R, SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0758569;-34.88745120000001
2020;5961;Lombada;CAIS SANTA RITA, PROX.  AO N. 675 - SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0717339;-34.8779064
2020;5962;Lombada;AV. DOM JOAO VI, EM FRT. AO PT. DE ONIBUS N. 010243, IMBIRIBEIRA;50 km/h;-8.1157038;-34.904305
2020;5963;Lombada;AV. REPUBLICA DO LIBANO, N. 115 - PINA - SENT. SUBURBIO;60 km/h;-8.0873199;-34.891254700000005
2020;5964;Lombada;AV. CELSO FURTADO KM 1,5 - SENT. CENTRO;60 km/h;-8.098962799999999;-34.8902929
2020;5965;Lombada;AV. CELSO FURTADO KM 2,4 - SENT. SUBURBIO;60 km/h;-8.1053608;-34.8918783
2020;5966;Lombada;AV. CELSO FURTADO KM 2,5 - SENT. CENTRO;60 km/h;-8.105794099999999;-34.8920917
2020;5967;Lombada;AV. SATURNINO DE BRITO - PROX. A COMPESA, SENT. SUBURBIO;60 km/h;-8.0795908;-34.8927989
2020;5968;Lombada;AV. DOM JOAO VI, ENTRE OS N. 777 E 835 - SENT. CENTRO;50 km/h;-8.116378;-34.904458
2020;5969;Lombada;AV. ENG. ABDIAS DE CARVALHO, ENTRE OS N. 1785 E 1745 - SENT. CENTRO;60 km/h;-8.062406;-34.917518
2020;5970;Lombada;AV. BEBERIBE, 2960 - SENT. SUBÚRBIO;50 km/h;-8.012909;-34.889379999999996
2020;5971;Lombada;AV. BEBERIBE, 3101 - SENT. CENTRO;50 km/h;-8.011664;-34.889419000000004
2020;5972;Lombada;RUA CONEGO BARATA, 55 - SENTIDO TORRE;50 km/h;-8.032786;-34.902984000000004
2020;FS002;Fotossensor;RUA MADRE DE DEUS, SEMAFORO 020.;30 Km/h;-8.0634002;-34.8736694
2020;FS003;Fotossensor;AV. MARQUES DE OLINDA, SEMAFORO 020.;30 Km/h;-8.063578699999999;-34.873533
2020;FS004;Fotossensor;AV. HERCULANO BANDEIRA, SEMAFORO 137.;60 Km/h;-8.0887916;-34.8852251
2020;FS005;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338.;60 Km/h;-8.1214306;-34.8990221
2020;FS006;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297.;60 Km/h;-8.1052672;-34.889604999999996
2020;FS007;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271.;60 Km/h;-8.063993;-34.9357505
2020;FS008;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 272.;60 Km/h;-8.0641421;-34.9358171
2020;FS009;Fotossensor;AV. CDE. DA BOA VISTA,  SEMAFORO 486.;40 Km/h;-8.061164999999999;-34.883294299999996
2020;FS010;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069.;60 Km/h;-8.0626244;-34.897360600000006
2020;FS011;Fotossensor;RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544.;60 Km/h;-8.115148399999999;-34.9006181
2020;FS012;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173.;60 Km/h;-8.0516928;-34.8950315
2020;FS014;Fotossensor;AV. BOA VIAGEM,  SEMAFORO 104.;60 Km/h;-8.0919008;-34.8820881
2020;FS015;Fotossensor;AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 530/531.;60 Km/h;-8.1273728;-34.915517799999996
2020;FS016;Fotossensor;AV. RECIFE, SEMAFORO 336.;60 Km/h;-8.1003544;-34.9282125
2020;FS017;Fotossensor;AV. RECIFE, SEMAFORO 617.;60 Km/h;-8.100547;-34.928082399999994
2020;FS018;Fotossensor;AV. DEZESSETE DE AGOSTO, SEMAFORO 370.;60 Km/h;-8.0277621;-34.928001
2020;FS019;Fotossensor;PONTE DELMIRO GOUVEIA, SEMAFORO 075.;50 Km/h;-8.05671;-34.89797
2020;FS020;Fotossensor;AV. BEBERIBE, SEMAFORO 131.;60 Km/h;-8.0278685;-34.892909100000004
2020;FS021;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328.;60 Km/h;-8.06242;-34.91688
2020;FS022;Fotossensor;RUA REAL DA TORRE, SEMAFORO 237.;50 Km/h;-8.05538;-34.90906
2020;FS023;Fotossensor;AV.NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424;60 Km/h;-8.018274400000001;-34.92830429999999
2020;FS024;Fotossensor;RUA GUILHERME PINTO, SEMAFORO 432.;40 Km/h;-8.05216;-34.90217
2020;FS025;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 580;50 Km/h;-8.121513199999999;-34.9093425
2020;FS026;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 400;50 Km/h;-8.1214297;-34.9098383
2020;FS027;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2020;FS028;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2020;FS029;Fotossensor;RUA FALCAO DE LACERDA SEMAFORO 285;50 Km/h;-8.0920388;-34.961494099999996
2020;FS030;Fotossensor;AV. LIBERDADE, SEMAFORO 440;50 Km/h;-8.0811109;-34.9683544
2020;FS033;Fotossensor;AV. DR. JOSE RUFINO, SEMAFORO 082.;60 Km/h;-8.08463;-34.92803
2020;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
2021;5941;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. PRAZERES;60 km/h;-8.1309702;-34.916161200000005
2021;5942;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. CENTRO;60 km/h;-8.1306469;-34.9158856
2021;5943;Lombada;AV. BOA VIAGEM - TERCEIRO JARDIM;60 km/h;-8.1078431;-34.8881609
2021;5944;Lombada;DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - SENT. PINA;60 km/h;-8.0801208;-34.8921866
2021;5945;Lombada;APOS PONTE AGAMENON MAGALHAES, CABANGA - SENT. DERBY;60 km/h;-8.0808198;-34.891159
2021;5946;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2021;5947;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2021;5948;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2021;5949;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2021;5950;Lombada;AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY;60 km/h;-8.0415844;-34.8833148
2021;5951;Lombada;AV. GENERAL SAN MARTIN, N. 1864, SENT. AV. RECIFE ;40 km/h;-8.0674689;-34.9278105
2021;5952;Lombada;AV. AFONSO OLINDENSE, N. 996, SENT. CAXANGA ;40 km/h;-8.0395243;-34.9576449
2021;5953;Lombada;AV. MAURICIO DE NASSAU ENTRONCAMENTO 1a. TRV. SANTA LÚCIA, SENT. CENTRO;40 km/h;-8.039192100000001;-34.929838700000005
2021;5954;Lombada;AV. ALFREDO LISBOA, ENTRE OS N. 33 E 18;30 km/h;-8.0637868;-34.871632299999995
2021;5955;Lombada;RUA ARQ. LUIZ NUNES CRUZAMENTO RUA DEOLINDO TAVARES, SENT. SUBURBIO;40 km/h;-8.0874203;-34.9099345
2021;5956;Lombada;RUA PARIS, PRÓXIMO A PARADA DE ÔNIBUS N.020470;50 km/h;-8.1029992;-34.913129999999995
2021;5957;Lombada;AV. CONS. AGUIAR, N. 4620;60 km/h;-8.127873;-34.900242
2021;5958;Lombada;AV. RUI BARBOSA, N. 1397;60 km/h (40km/h ciclofaixa);-8.041157499999999;-34.903343400000004
2021;5959;Lombada;AV. ENG. ANTONIO DE GOES, N. 124;60 km/h (40km/h ciclofaixa);-8.0883266;-34.8837708
2021;5960;Lombada;AV. ENG. JOSÉ ESTELITA - ENTRE PTS. DE ILUM. 19-R e 21-R, SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0758569;-34.88745120000001
2021;5961;Lombada;CAIS SANTA RITA, PROX.  AO N. 675 - SENT. CENTRO;60 km/h (40km/h ciclofaixa);-8.0717339;-34.8779064
2021;5962;Lombada;AV. DOM JOAO VI, EM FRT. AO PT. DE ONIBUS N. 010243, IMBIRIBEIRA;50 km/h;-8.1157038;-34.904305
2021;5963;Lombada;AV. REPUBLICA DO LIBANO, N. 115 - PINA - SENT. SUBURBIO;60 km/h;-8.0873199;-34.891254700000005
2021;5964;Lombada;AV. CELSO FURTADO KM 1,5 - SENT. CENTRO;60 km/h;-8.098962799999999;-34.8902929
2021;5965;Lombada;AV. CELSO FURTADO KM 2,4 - SENT. SUBURBIO;60 km/h;-8.1053608;-34.8918783
2021;5966;Lombada;AV. CELSO FURTADO KM 2,5 - SENT. CENTRO;60 km/h;-8.105794099999999;-34.8920917
2021;5967;Lombada;AV. SATURNINO DE BRITO - PROX. A COMPESA, SENT. SUBURBIO;60 km/h;-8.0795908;-34.8927989
2021;5968;Lombada;AV. DOM JOAO VI, ENTRE OS N. 777 E 835 - SENT. CENTRO;50 km/h;-8.116378;-34.904458
2021;5969;Lombada;AV. ENG. ABDIAS DE CARVALHO, ENTRE OS N. 1785 E 1745 - SENT. CENTRO;60 km/h;-8.062406;-34.917518
2021;5970;Lombada;AV. BEBERIBE, 2960 - SENT. SUBÚRBIO;50 km/h;-8.012909;-34.889379999999996
2021;5971;Lombada;AV. BEBERIBE, 3101 - SENT. CENTRO;50 km/h;-8.011664;-34.889419000000004
2021;5972;Lombada;RUA CONEGO BARATA, 55 - SENTIDO TORRE;50 km/h;-8.032786;-34.902984000000004
2021;FS002;Fotossensor;RUA MADRE DE DEUS, SEMAFORO 020.;30 Km/h;-8.0634002;-34.8736694
2021;FS003;Fotossensor;AV. MARQUES DE OLINDA, SEMAFORO 020.;30 Km/h;-8.063578699999999;-34.873533
2021;FS004;Fotossensor;AV. HERCULANO BANDEIRA, SEMAFORO 137.;60 Km/h;-8.0887916;-34.8852251
2021;FS005;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338.;60 Km/h;-8.1214306;-34.8990221
2021;FS006;Fotossensor;AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297.;60 Km/h;-8.1052672;-34.889604999999996
2021;FS007;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271.;60 Km/h;-8.063993;-34.9357505
2021;FS008;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 272.;60 Km/h;-8.0641421;-34.9358171
2021;FS009;Fotossensor;AV. CDE. DA BOA VISTA,  SEMAFORO 486.;40 Km/h;-8.061164999999999;-34.883294299999996
2021;FS010;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069.;60 Km/h;-8.0626244;-34.897360600000006
2021;FS011;Fotossensor;RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544.;60 Km/h;-8.115148399999999;-34.9006181
2021;FS012;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173.;60 Km/h;-8.0516928;-34.8950315
2021;FS014;Fotossensor;AV. BOA VIAGEM,  SEMAFORO 104.;60 Km/h;-8.0919008;-34.8820881
2021;FS015;Fotossensor;AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 530/531.;60 Km/h;-8.1273728;-34.915517799999996
2021;FS016;Fotossensor;AV. RECIFE, SEMAFORO 336.;60 Km/h;-8.1003544;-34.9282125
2021;FS017;Fotossensor;AV. RECIFE, SEMAFORO 617.;60 Km/h;-8.100547;-34.928082399999994
2021;FS018;Fotossensor;AV. DEZESSETE DE AGOSTO, SEMAFORO 370.;60 Km/h;-8.0277621;-34.928001
2021;FS019;Fotossensor;PONTE DELMIRO GOUVEIA, SEMAFORO 075.;50 Km/h;-8.05671;-34.89797
2021;FS020;Fotossensor;AV. BEBERIBE, SEMAFORO 131.;60 Km/h;-8.0278685;-34.892909100000004
2021;FS021;Fotossensor;AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328.;60 Km/h;-8.06242;-34.91688
2021;FS022;Fotossensor;RUA REAL DA TORRE, SEMAFORO 237.;50 Km/h;-8.05538;-34.90906
2021;FS023;Fotossensor;AV.NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424;60 Km/h;-8.018274400000001;-34.92830429999999
2021;FS024;Fotossensor;RUA GUILHERME PINTO, SEMAFORO 432.;40 Km/h;-8.05216;-34.90217
2021;FS025;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 580;50 Km/h;-8.121513199999999;-34.9093425
2021;FS026;Fotossensor;AV. DESEMBARGADOR JOSÉ NEVES, SEMAFORO 400;50 Km/h;-8.1214297;-34.9098383
2021;FS027;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2021;FS028;Fotossensor;RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158;60 Km/h;-8.1362834;-34.90358079999999
2021;FS029;Fotossensor;RUA FALCAO DE LACERDA SEMAFORO 285;50 Km/h;-8.0920388;-34.961494099999996
2021;FS030;Fotossensor;AV. LIBERDADE, SEMAFORO 440;50 Km/h;-8.0811109;-34.9683544
2021;FS033;Fotossensor;AV. DR. JOSE RUFINO, SEMAFORO 082.;60 Km/h;-8.08463;-34.92803
2021;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
